Year,Jan,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
1825,12.5833333333,12.1666666667,12.0833333333,11.8333333333,12.1666666667,11.0833333333,11.9166666667,10.8333333333,10.9166666667,10.75,10.8333333333,10.75
1826,10.4166666667,10.0,9.5,9.5,9.33333333333,9.58333333333,8.58333333333,9.33333333333,8.91666666667,9.0,8.91666666667,9.08333333333
1827,9.16666666667,9.41666666667,9.08333333333,9.08333333333,8.5,8.75,8.5,8.58333333333,8.41666666667,8.41666666667,8.0,7.66666666667
1828,7.91666666667,7.75,8.41666666667,9.0,9.16666666667,9.0,9.41666666667,9.0,8.5,8.25,8.16666666667,8.0
1829,7.75,7.83333333333,7.25,7.08333333333,7.08333333333,7.25,7.0,7.41666666667,7.58333333333,7.25,7.75,7.83333333333
1830,7.83333333333,7.66666666667,7.91666666667,7.75,7.91666666667,7.5,7.66666666667,7.33333333333,7.41666666667,8.25,7.91666666667,8.25
1831,8.75,9.16666666667,10.0,9.91666666667,9.75,9.41666666667,9.33333333333,8.75,8.83333333333,8.08333333333,8.0,7.75
1832,7.5,7.33333333333,6.41666666667,6.33333333333,6.58333333333,7.58333333333,7.41666666667,7.83333333333,7.5,7.83333333333,8.0,8.33333333333
1833,8.33333333333,8.58333333333,8.75,9.08333333333,9.25,8.58333333333,8.58333333333,8.83333333333,9.83333333333,10.5833333333,10.75,10.6666666667
1834,10.9166666667,10.5833333333,10.5833333333,10.0833333333,9.83333333333,10.25,10.3333333333,10.75,10.0833333333,9.58333333333,10.0,9.5
1835,9.58333333333,9.75,9.58333333333,9.58333333333,9.16666666667,8.33333333333,7.91666666667,6.58333333333,5.75,4.91666666667,4.41666666667,5.0
1836,5.08333333333,4.91666666667,6.0,6.16666666667,7.33333333333,8.33333333333,9.16666666667,10.9166666667,12.4166666667,13.4166666667,13.6666666667,13.5
1837,13.0833333333,13.0833333333,12.4166666667,12.1666666667,12.1666666667,11.5833333333,11.0,9.58333333333,9.75,9.33333333333,9.08333333333,8.91666666667
1838,9.08333333333,9.0,8.91666666667,8.91666666667,7.91666666667,7.91666666667,8.16666666667,9.5,8.41666666667,8.83333333333,8.91666666667,9.16666666667
1839,9.08333333333,9.25,9.41666666667,10.25,10.6666666667,11.0,11.25,9.91666666667,11.0833333333,10.9166666667,10.75,11.0833333333
1840,11.0833333333,11.1666666667,11.25,10.6666666667,11.0,11.0833333333,10.4166666667,10.8333333333,10.0,10.25,10.25,9.5
1841,9.33333333333,9.33333333333,9.16666666667,8.83333333333,8.0,8.0,8.41666666667,8.5,7.91666666667,7.5,7.66666666667,8.08333333333
1842,8.41666666667,8.75,9.33333333333,10.1666666667,11.1666666667,10.6666666667,10.75,10.5,11.0833333333,10.75,11.0,11.1666666667
1843,11.1666666667,10.8333333333,10.1666666667,10.0,9.75,9.75,9.75,10.5,10.6666666667,11.0833333333,10.6666666667,10.6666666667
1844,11.0833333333,10.8333333333,10.5,10.5833333333,10.1666666667,10.1666666667,10.25,10.0,10.5,10.8333333333,10.9166666667,10.5833333333
1845,9.66666666667,10.25,10.5833333333,10.0,9.75,10.0,10.5,10.1666666667,9.41666666667,9.08333333333,9.25,9.25
1846,9.41666666667,9.16666666667,8.91666666667,8.83333333333,8.91666666667,8.66666666667,7.5,7.66666666667,8.08333333333,7.83333333333,7.5,7.41666666667
1847,7.83333333333,8.0,7.91666666667,7.91666666667,7.83333333333,7.83333333333,7.58333333333,6.83333333333,5.91666666667,5.41666666667,5.25,4.91666666667
1848,4.58333333333,4.0,3.91666666667,4.0,4.08333333333,4.83333333333,5.91666666667,6.66666666667,7.25,8.33333333333,8.66666666667,9.5
1849,9.58333333333,10.6666666667,11.3333333333,11.6666666667,12.5,11.75,11.0,11.0,10.6666666667,10.3333333333,10.1666666667,9.58333333333
1850,10.0833333333,9.58333333333,9.08333333333,9.16666666667,8.5,8.83333333333,9.33333333333,9.16666666667,9.41666666667,9.41666666667,9.58333333333,9.83333333333
1851,9.66666666667,9.16666666667,9.41666666667,9.16666666667,9.08333333333,9.33333333333,8.58333333333,9.41666666667,10.1666666667,10.25,10.5833333333,10.9166666667
1852,10.6666666667,10.9166666667,11.0,11.6666666667,11.9166666667,11.8333333333,12.75,12.0,11.4166666667,11.5833333333,11.25,10.5833333333
1853,10.25,10.1666666667,10.0,9.5,9.25,8.58333333333,8.0,7.75,7.41666666667,7.0,7.25,7.5
1854,7.66666666667,7.58333333333,7.25,7.16666666667,7.5,7.41666666667,7.25,7.16666666667,7.41666666667,7.33333333333,7.08333333333,6.75
1855,6.58333333333,7.0,7.33333333333,7.25,6.66666666667,6.91666666667,7.08333333333,7.08333333333,7.25,7.41666666667,7.25,8.0
1856,8.41666666667,8.25,8.08333333333,8.5,8.83333333333,9.08333333333,9.66666666667,10.0,9.66666666667,9.58333333333,10.0,9.33333333333
1857,9.0,9.33333333333,9.41666666667,9.16666666667,9.25,9.58333333333,9.16666666667,9.66666666667,10.0833333333,10.0,9.58333333333,9.66666666667
1858,9.75,9.33333333333,9.41666666667,8.91666666667,8.5,7.5,7.16666666667,6.33333333333,5.91666666667,5.75,5.91666666667,6.58333333333
1859,6.75,6.91666666667,7.5,7.66666666667,8.08333333333,8.58333333333,8.91666666667,8.91666666667,8.83333333333,9.16666666667,8.91666666667,8.25
1860,8.33333333333,8.08333333333,7.66666666667,7.75,7.41666666667,7.33333333333,7.41666666667,7.66666666667,7.75,8.25,8.41666666667,8.41666666667
1861,7.91666666667,7.83333333333,7.5,7.33333333333,8.33333333333,8.58333333333,8.5,8.5,8.5,8.0,8.0,8.16666666667
1862,8.58333333333,8.75,9.0,9.58333333333,8.75,8.66666666667,8.08333333333,8.33333333333,9.25,9.58333333333,9.91666666667,10.4166666667
1863,10.5,10.3333333333,10.25,9.91666666667,10.1666666667,10.5,10.8333333333,10.3333333333,9.58333333333,9.0,8.66666666667,8.0
1864,7.91666666667,8.41666666667,8.16666666667,8.0,7.83333333333,7.25,7.0,6.83333333333,6.33333333333,6.33333333333,6.33333333333,6.58333333333
1865,6.58333333333,6.41666666667,7.08333333333,7.66666666667,8.5,8.41666666667,9.08333333333,9.75,10.1666666667,10.4166666667,10.25,10.0
1866,10.25,10.25,10.0,10.5,10.0,9.83333333333,9.83333333333,10.0,10.25,10.5833333333,10.75,11.0833333333
1867,10.4166666667,10.25,9.91666666667,9.16666666667,8.5,8.41666666667,8.08333333333,7.0,6.25,5.58333333333,5.5,5.5
1868,5.91666666667,6.25,6.66666666667,7.08333333333,7.83333333333,9.0,9.83333333333,10.5833333333,11.25,11.9166666667,12.5833333333,12.6666666667
1869,12.5,12.25,11.8333333333,11.5,11.3333333333,11.0,10.4166666667,10.5,10.5,10.1666666667,10.0,9.58333333333
1870,9.66666666667,9.91666666667,10.5,10.3333333333,10.4166666667,10.25,10.0833333333,9.83333333333,9.5,9.5,9.25,9.25
1871,9.0,8.41666666667,8.25,8.83333333333,8.66666666667,9.08333333333,9.58333333333,9.83333333333,9.83333333333,10.3333333333,10.25,10.6666666667
1872,10.8333333333,11.0833333333,10.8333333333,10.4166666667,10.4166666667,10.0833333333,9.75,9.75,10.3333333333,10.3333333333,10.9166666667,10.9166666667
1873,11.3333333333,11.5,12.0833333333,12.0,12.25,12.0,12.3333333333,13.0833333333,12.9166666667,12.5,12.0833333333,12.0833333333
1874,11.8333333333,12.25,11.1666666667,11.0,10.75,10.4166666667,10.0833333333,8.66666666667,8.66666666667,8.33333333333,8.0,7.75
1875,7.5,7.58333333333,8.25,8.75,9.5,9.91666666667,10.1666666667,10.75,10.9166666667,12.0,12.4166666667,12.5
1876,12.6666666667,12.5833333333,12.9166666667,12.6666666667,12.0,11.5,11.1666666667,11.0,10.9166666667,9.91666666667,9.83333333333,9.75
1877,9.58333333333,8.75,8.58333333333,8.66666666667,8.58333333333,8.91666666667,8.91666666667,8.83333333333,8.25,9.25,9.25,10.0
1878,10.0833333333,10.5,10.5,11.0833333333,11.0833333333,11.0,10.8333333333,10.6666666667,10.5833333333,10.75,10.8333333333,10.3333333333
1879,10.1666666667,10.1666666667,10.3333333333,9.66666666667,9.41666666667,9.41666666667,9.75,10.1666666667,10.9166666667,9.66666666667,9.25,8.83333333333
1880,9.58333333333,9.91666666667,9.75,9.33333333333,9.25,9.5,9.41666666667,9.41666666667,9.0,9.25,9.0,9.25
1881,8.75,8.08333333333,8.16666666667,8.58333333333,8.66666666667,8.58333333333,8.33333333333,8.41666666667,8.5,8.83333333333,9.33333333333,9.0
1882,9.91666666667,10.75,10.5,10.5833333333,11.0,11.1666666667,11.25,11.5,11.1666666667,10.8333333333,10.75,11.1666666667
1883,10.75,10.4166666667,10.5833333333,10.6666666667,10.8333333333,10.6666666667,11.5833333333,11.4166666667,12.25,12.5,12.8333333333,12.75
